head_of_duty,year,quantity_of_measure,volume
Bookmaking Licences number issued,2004,Number Issued,535
Bookmaking Premises number issued,2004,Number Issued,948
Beer Import,2003,litres of alcohol,3643664
Beer Home,2003,litres of alcohol,19583068
Cider and Perry Import,2003,litres   ,6819080
Cider and Perry Home,2003,litres   ,67350082
Spirits Import,2003,litres of alcohol,3429447
Spirits Home,2003,litres of alcohol,4397020
Wine up to 5.5 percent,2003,litres   ,852392
Wine Still between 5.5 and 15 percent,2003,litres   ,57683520
Wine Still over 15 percent,2003,litres   ,1014299
Wine Sparkling over 5.5 percent,2003,litres   ,1163615
Tobacco Cigarettes,2003,thousands,6295263
Tobacco  Cigars,2003,kilograms,75965
Fine Cut Tobacco,2003,kilograms,11904
Tobacco Other,2003,kilograms,47129
MHLO Leaded Petrol ,2003,thousand litres,0
MHLO Unleaded Petrol,2003,thousand litres,2114341
MHLO SuperPlus Unleaded,2003,thousand litres,7659
MHLO Aviation Gasoline,2003,thousand litres,1959
Autodiesel,2003,thousand litres,2298884
Marked Gas Oil (MGO),2003,thousand litres,1564981
Kerosene,2003,thousand litres,983414
Fuel Oil used in manufacture of Alumina,2003,thousand litres,356927
Residual Fuel Oils,2003,thousand litres,792344
Liquefied Petroleum Gas Other,2003,thousand litres,273674
Liquefied Petroleum Gas Auto ,2003,thousand litres,1958
Bookmaking Licences number issued,2003,Number Issued,584
Bookmaking Premises number issued,2003,Number Issued,1068
