head_of_duty,year,quantity_of_measure,volume
Beer Import,2020,litres of alcohol,8493406.59
Beer Home,2020,litres of alcohol,7166743.05
Cider and Perry Import,2020,litres   ,13418075.66
Cider and Perry Home,2020,litres   ,39071053.42
Spirits Import,2020,litres of alcohol,6047726.94
Spirits Home,2020,litres of alcohol,2839386.321
Wine up to 5.5 percent,2020,litres   ,7115915
Wine Still between 5.5 and 15 percent,2020,litres   ,93462955
Wine Still over 15 percent,2020,litres   ,801387
Wine Sparkling over 5.5 percent,2020,litres   ,2277949
Tobacco Cigarettes,2020,thousands,2510795
Tobacco  Cigars,2020,kilograms,18501
Fine Cut Tobacco,2020,kilograms,408898
Tobacco Other,2020,kilograms,9356
MHLO Leaded Petrol ,2020,thousand litres,0
MHLO Unleaded Petrol,2020,thousand litres,772693
MHLO SuperPlus Unleaded,2020,thousand litres,0
MHLO Aviation Gasoline,2020,thousand litres,961
Autodiesel,2020,thousand litres,3167384
Marked Gas Oil (MGO),2020,thousand litres,1134349
Kerosene,2020,thousand litres,1256626
Fuel Oil used in manufacture of Alumina,2020,thousand litres,
Residual Fuel Oils,2020,thousand litres,41282
Liquefied Petroleum Gas Other,2020,thousand litres,326810
Liquefied Petroleum Gas Auto ,2020,thousand litres,1954
Bookmaking Licences number issued,2020,Number Issued,79
Bookmaking Premises number issued,2020,Number Issued,384
Beer Import,2019,litres of alcohol,6492483.36
Beer Home,2019,litres of alcohol,12446112.36
Cider and Perry Import,2019,litres   ,16004197
Cider and Perry Home,2019,litres   ,47177825
Spirits Import,2019,litres of alcohol,5896102.27
Spirits Home,2019,litres of alcohol,2924237.68
Wine up to 5.5 percent,2019,litres   ,8122504
Wine Still between 5.5 and 15 percent,2019,litres   ,81713029
Wine Still over 15 percent,2019,litres   ,749049
Wine Sparkling over 5.5 percent,2019,litres   ,1929888
Tobacco Cigarettes,2019,thousands,2768745
Tobacco  Cigars,2019,kilograms,17367
Fine Cut Tobacco,2019,kilograms,351416
Tobacco Other,2019,kilograms,9838
MHLO Leaded Petrol ,2019,thousand litres,0
MHLO Unleaded Petrol,2019,thousand litres,1043084
MHLO SuperPlus Unleaded,2019,thousand litres,0
MHLO Aviation Gasoline,2019,thousand litres,950
Autodiesel,2019,thousand litres,3678892
Marked Gas Oil (MGO),2019,thousand litres,1092504
Kerosene,2019,thousand litres,1068064
Fuel Oil used in manufacture of Alumina,2019,thousand litres,
Residual Fuel Oils,2019,thousand litres,44999
Liquefied Petroleum Gas Other,2019,thousand litres,330332
Liquefied Petroleum Gas Auto ,2019,thousand litres,2770
Bookmaking Licences number issued,2019,Number Issued,205
Bookmaking Premises number issued,2019,Number Issued,485
Beer Import,2018,litres of alcohol,6497494
Beer Home,2018,litres of alcohol,12813289
Cider and Perry Import,2018,litres   ,9983956
Cider and Perry Home,2018,litres   ,54315700
Spirits Import,2018,litres of alcohol,5756182
Spirits Home,2018,litres of alcohol,3007208
Wine up to 5.5 percent,2018,litres   ,8625851
Wine Still between 5.5 and 15 percent,2018,litres   ,79858759
Wine Still over 15 percent,2018,litres   ,768771
Wine Sparkling over 5.5 percent,2018,litres   ,1961616
Tobacco Cigarettes,2018,thousands,1763336
Tobacco  Cigars,2018,kilograms,16339
Fine Cut Tobacco,2018,kilograms,284731
Tobacco Other,2018,kilograms,11492
MHLO Leaded Petrol ,2018,thousand litres,0
MHLO Unleaded Petrol,2018,thousand litres,1097546
MHLO SuperPlus Unleaded,2018,thousand litres,0
MHLO Aviation Gasoline,2018,thousand litres,848
Autodiesel,2018,thousand litres,3589262
Marked Gas Oil (MGO),2018,thousand litres,1086672
Kerosene,2018,thousand litres,1148910
Fuel Oil used in manufacture of Alumina,2018,thousand litres,
Residual Fuel Oils,2018,thousand litres,49488
Liquefied Petroleum Gas Other,2018,thousand litres,324752
Liquefied Petroleum Gas Auto ,2018,thousand litres,3149
Bookmaking Licences number issued,2018,Number Issued,139
Bookmaking Premises number issued,2018,Number Issued,443
Beer Import,2017,litres of alcohol,6514096
Beer Home,2017,litres of alcohol,12297267
