commodity_and_head_of_duty,year , net_receipts_ 
Carbon Fuel Oil,2010,1565129
Carbon Other LPG,2010,2631237
Carbon Auto LPG,2010,6132
Carbon Natural Gas,2010,11321744
Electricity Tax,2010,7082028
Vehicle Registration Tax,2010,383485187
Excise Duty on Premises or Activities - Betting Duty,2010,30919211
Excise Duty on Premises or Activities - Bookmakers Licences,2010,118500
Excise Duty on Premises or Activities - Bookmaking Premises,2010,467780
Excise Duty on Premises or Activities - Clubs,2010,304260
Excise Duty on Premises or Activities - Public Dancing Licences,2010,7743320
Excise Duty on Premises or Activities - Licences,2010,16015213
Excise Duty on Premises or Activities - An Post,2010,3270
Excise Duty on Premises or Activities - Air Travel Tax,2010,104650867
Alcohols Beer - Import,2009,125972764
Alcohols Beer - Home,2009,278308367
Alcohols Cider and Perry - Import,2009,7925578
Alcohols Cider and Perry - Home,2009,49220802
Alcohols Spirits - Import,2009,127314178
Alcohols Spirits - Home,2009,136764021
Alcohols Wine,2009,233080168
Alcohols Made Wine,2009,9432467
Tobacco Cigarettes,2009,1155366383
Tobacco Cigars /Fine Cut / Other Smoking,2009,61110266
Mineral Hydrocarbon Light Oils - Import ,2009,777556192
Mineral Hydrocarbon Light Oils - Home ,2009,297497719
Hydrocarbon Heavy Oils  - AutoDiesel,2009,1060292645
Hydrocarbon Heavy Oils - Marked Gas Oil,2009,54982840
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2009,2077610
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2009,30625
Electricity Tax,2009,1942628
Vehicle Registration Tax,2009,375402902
Excise Duty on Premises or Activities - Betting Duty,2009,30988780
Excise Duty on Premises or Activities - Bookmakers Licences,2009,161250
Excise Duty on Premises or Activities - Bookmaking Premises,2009,645620
Excise Duty on Premises or Activities - Clubs,2009,436365
Excise Duty on Premises or Activities - Firearms Certificates,2009,2836966
Excise Duty on Premises or Activities - Firearm Dealers,2009,67939
Excise Duty on Premises or Activities - Public Dancing Licences,2009,8364989
Excise Duty on Premises or Activities - Licences,2009,19308793
Excise Duty on Premises or Activities - An Post,2009,9547
Excise Duty on Premises or Activities - Air Travel Tax,2009,84406247
Alcohols Beer - Import,2008,117847772
Alcohols Beer - Home,2008,309303625
Alcohols Cider and Perry - Import,2008,8579299
Alcohols Cider and Perry - Home,2008,51976398
Alcohols Spirits - Import,2008,157109812
Alcohols Spirits - Home,2008,193800889
Alcohols Wine,2008,229128346
Alcohols Made Wine,2008,2202288
Tobacco Cigarettes,2008,1131532463
Tobacco Cigars /Fine Cut / Other Smoking,2008,39457948
Mineral Hydrocarbon Light Oils - Import ,2008,682989863
Mineral Hydrocarbon Light Oils - Home ,2008,363784999
Hydrocarbon Heavy Oils  - AutoDiesel,2008,1051860173
Hydrocarbon Heavy Oils - Marked Gas Oil,2008,65207804
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2008,6256049
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2008,49347
Vehicle Registration Tax,2008,1120777384
Excise Duty on Premises or Activities - Betting Duty,2008,36667784
Excise Duty on Premises or Activities - Bookmakers Licences,2008,133000
Excise Duty on Premises or Activities - Bookmaking Premises,2008,415340
Excise Duty on Premises or Activities - Clubs,2008,452610
Excise Duty on Premises or Activities - Firearms Certificates,2008,4443937
Excise Duty on Premises or Activities - Firearm Dealers,2008,71804
Excise Duty on Premises or Activities - Public Dancing Licences,2008,10377810
Excise Duty on Premises or Activities - Other,2008, -   
Excise Duty on Premises or Activities - Foreign Travel,2008,1582
Excise Duty on Premises or Activities - Licences,2008,15255942
Excise Duty on Premises or Activities - An Post,2008,7856
Alcohols Beer - Import,2007,157883543
Alcohols Beer - Home,2007,306918459
Alcohols Cider and Perry - Import,2007,9289639
Alcohols Cider and Perry - Home,2007,59007261
Alcohols Spirits - Import,2007,165241257
Alcohols Spirits - Home,2007,202317032
Alcohols Wine,2007,229325135
Alcohols Made Wine,2007,875063
Tobacco Cigarettes,2007,1154976838
Tobacco Cigars /Fine Cut / Other Smoking,2007,37000027
Mineral Hydrocarbon Light Oils - Import ,2007,701441897
Mineral Hydrocarbon Light Oils - Home ,2007,349825818
Hydrocarbon Heavy Oils  - AutoDiesel,2007,1076256203
Hydrocarbon Heavy Oils - Marked Gas Oil,2007,68092313
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2007,8404384
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2007,65933
Vehicle Registration Tax,2007,1406055634
Excise Duty on Premises or Activities - Betting Duty,2007,36437009
Excise Duty on Premises or Activities - Bookmakers Licences,2007,177000
Excise Duty on Premises or Activities - Bookmaking Premises,2007,529720
Excise Duty on Premises or Activities - Clubs,2007,449640
Excise Duty on Premises or Activities - Firearms Certificates,2007,6949059
Excise Duty on Premises or Activities - Firearm Dealers,2007,32018
Excise Duty on Premises or Activities - Public Dancing Licences,2007,10241220
Excise Duty on Premises or Activities - Other,2007,-50
Excise Duty on Premises or Activities - Foreign Travel,2007,62
Excise Duty on Premises or Activities - Licences,2007,15926669
Excise Duty on Premises or Activities - An Post,2007,4322
Alcohols Beer - Import,2006,111507924
Alcohols Beer - Home,2006,349185923
Alcohols Cider and Perry - Import,2006,8476685
Alcohols Cider and Perry - Home,2006,60699512
Alcohols Spirits - Import,2006,145154076
Alcohols Spirits - Home,2006,192886205
Alcohols Wine,2006,207155402
Alcohols Made Wine,2006,2083347
Tobacco Cigarettes,2006,1071394609
Tobacco Cigars /Fine Cut / Other Smoking,2006,31948391
Mineral Hydrocarbon Light Oils - Import ,2006,698655597
Mineral Hydrocarbon Light Oils - Home ,2006,327704712
Hydrocarbon Heavy Oils  - AutoDiesel,2006,1016729065
Hydrocarbon Heavy Oils - Marked Gas Oil,2006,68779311
Hydrocarbon Heavy Oils - Kerosene,2006,18020958
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2006,11350256
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2006,95672
Gaseous Hydrocarbons in Liquid Form - Other LPG ,2006,2829229
Vehicle Registration Tax,2006,1287407855
Excise Duty on Premises or Activities - Betting Duty,2006,54295658
Excise Duty on Premises or Activities - Bookmakers Licences,2006,123750
Excise Duty on Premises or Activities - Bookmaking Premises,2006,386840
Excise Duty on Premises or Activities - Clubs,2006,458960
Excise Duty on Premises or Activities - Firearms Certificates,2006,2159899
Excise Duty on Premises or Activities - Firearm Dealers,2006,15897
Excise Duty on Premises or Activities - Public Dancing Licences,2006,11189946
Excise Duty on Premises or Activities - Other,2006,-848
Excise Duty on Premises or Activities - Foreign Travel,2006,-17079
Excise Duty on Premises or Activities - Licences,2006,15842241
Excise Duty on Premises or Activities - An Post,2006,14207
Alcohols Beer - Import,2005,95377167
Alcohols Beer - Home,2005,361930565
Alcohols Cider and Perry - Import,2005,7120556
Alcohols Cider and Perry - Home,2005,58937179
Alcohols Spirits - Import,2005,136291848
Alcohols Spirits - Home,2005,183487253
Alcohols Wine,2005,193369149
Alcohols Made Wine,2005,1760031
Tobacco Cigarettes,2005,1053565948
Tobacco Cigars /Fine Cut / Other Smoking,2005,25985239
Mineral Hydrocarbon Light Oils - Import ,2005,701222060
Mineral Hydrocarbon Light Oils - Home ,2005,300657225
Hydrocarbon Heavy Oils  - AutoDiesel,2005,920482423
Hydrocarbon Heavy Oils - Marked Gas Oil,2005,72930000
Hydrocarbon Heavy Oils - Kerosene,2005,33660000
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2005,13430000
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2005,108426
Gaseous Hydrocarbons in Liquid Form - Other LPG ,2005,5404755
Vehicle Registration Tax,2005,1148783152
Excise Duty on Premises or Activities - Betting Duty,2005,45850201
Excise Duty on Premises or Activities - Bookmakers Licences,2005,147500
Excise Duty on Premises or Activities - Bookmaking Premises,2005,400900
Excise Duty on Premises or Activities - Clubs,2005,470160
Excise Duty on Premises or Activities - Firearms Certificates,2005,5079135
Excise Duty on Premises or Activities - Firearm Dealers,2005,24088
Excise Duty on Premises or Activities - Public Dancing Licences,2005,9954858
Excise Duty on Premises or Activities - Other,2005,-2222
Excise Duty on Premises or Activities - Licences,2005,14693264
Excise Duty on Premises or Activities - An Post,2005,9233
Alcohols Beer - Import,2004,80113005
Alcohols Beer - Home,2004,378081957
Alcohols Cider and Perry - Import,2004,6490209
Alcohols Cider and Perry - Home,2004,57705722
Alcohols Spirits - Import,2004,139689237
Alcohols Spirits - Home,2004,175217210
Alcohols Wine,2004,182430149
Alcohols Made Wine,2004,2364410
Tobacco Cigarettes,2004,1024589939
Tobacco Cigars /Fine Cut / Other Smoking,2004,34562167
Mineral Hydrocarbon Light Oils - Import ,2004,729687642
Mineral Hydrocarbon Light Oils - Home ,2004,241013862
Hydrocarbon Heavy Oils  - AutoDiesel,2004,870734501
Hydrocarbon Heavy Oils - Marked Gas Oil,2004,70879147
Hydrocarbon Heavy Oils - Kerosene,2004,33458184
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2004,12415116
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2004,77343
Gaseous Hydrocarbons in Liquid Form - Other LPG ,2004,5078898
Vehicle Registration Tax,2004,945973401
Excise Duty on Premises or Activities - Betting Duty,2004,45552353
Excise Duty on Premises or Activities - Bookmakers Licences,2004,131474
Excise Duty on Premises or Activities - Bookmaking Premises,2004,329080
Excise Duty on Premises or Activities - Clubs,2004,439195
Excise Duty on Premises or Activities - Firearms Certificates,2004,4391802
Excise Duty on Premises or Activities - Firearm Dealers,2004,28383
Excise Duty on Premises or Activities - Public Dancing Licences,2004,9772946
Excise Duty on Premises or Activities - Other,2004,87
Excise Duty on Premises or Activities - Foreign Travel,2004,-42793
Excise Duty on Premises or Activities - Licences,2004,15309361
Excise Duty on Premises or Activities - An Post,2004,22088
Alcohols Beer - Import,2003,82770969
Alcohols Beer - Import,2003,372619049
Alcohols Cider and Perry - Import,2003,5568151
Alcohols Cider and Perry - Home,2003,54818888
Alcohols Spirits - Import,2003,132073661
Alcohols Spirits - Home,2003,172951978
Alcohols Wine,2003,165614272
Alcohols Made Wine,2003,2208137
Tobacco Cigarettes,2003,1119452754
Tobacco Cigars /Fine Cut / Other Smoking,2003,37795038
Mineral Hydrocarbon Light Oils - Import ,2003,609339024
Mineral Hydrocarbon Light Oils - Home ,2003,244445312
Hydrocarbon Heavy Oils  - AutoDiesel,2003,731464128
Hydrocarbon Heavy Oils - Marked Gas Oil,2003,69610348
Hydrocarbon Heavy Oils - Kerosene,2003,31095137
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2003,10453038
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2003,93663
Gaseous Hydrocarbons in Liquid Form - Other LPG ,2003,4970760
Vehicle Registration Tax,2003,819449745
Excise Duty on Premises or Activities - Betting Duty,2003,38422170
Excise Duty on Premises or Activities - Bookmakers Licences,2003,145124
Excise Duty on Premises or Activities - Bookmaking Premises,2003,368980
Excise Duty on Premises or Activities - Clubs,2003,403495
Excise Duty on Premises or Activities - Firearms Certificates,2003,5700450
Excise Duty on Premises or Activities - Firearm Dealers,2003,25792
Excise Duty on Premises or Activities - Public Dancing Licences,2003,9494853
Excise Duty on Premises or Activities - Other,2003,2202
Excise Duty on Premises or Activities - Foreign Travel,2003,-45159
Excise Duty on Premises or Activities - Licences,2003,14779190
Excise Duty on Premises or Activities - An Post,2003,12000
