commodity_and_head_of_duty,year , net_receipts_ 
Alcohols Wine,2021,384318442.1
Alcohols Made Wine,2021,29046182.2
Tobacco Cigarettes,2021,1136638444
Tobacco Cigars /Fine Cut / Other Smoking,2021,180993894.8
Mineral Hydrocarbon Light Oils - Import ,2021,445430643
Mineral Hydrocarbon Light Oils - Home ,2021,1161.16
Hydrocarbon Heavy Oils  - AutoDiesel,2021,1429958038
Hydrocarbon Heavy Oils - Marked Gas Oil,2021,49999802.39
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2021,586165.63
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2021,126659.57
Carbon Auto Diesel,2021,292012090.4
Carbon Petrol,2021,61899244.78
Carbon Aviation Gasoline,2021,78683.26
Carbon Kerosene,2021,83016194.32
Carbon Marked Gas Oil,2021,87487293.68
Carbon Fuel Oil,2021,1357773.36
Carbon Other LPG,2021,15178873.82
Carbon Auto LPG,2021,52924.03
Carbon Natural Gas,2021,83308563.37
Carbon Solid Fuel,2021,27902880.15
Electricity Tax,2021,5193079.59
Sugar Tax,2021,30441128.65
Vehicle Registration Tax,2021,785664796.3
Excise Duty on Premises or Activities - Traditional Betting Duty,2021,24379972
Excise Duty on Premises or Activities - Remote Betting Duty,2021,60550261
Excise Duty on Premises or Activities - Betting Commissions Duty,2021,4196553
Excise Duty on Premises or Activities - Bookmakers Licences,2021,63000
Excise Duty on Premises or Activities - Bookmaking Premises,2021,405840
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2021,149992
Excise Duty on Premises or Activities - Remote Bookmaker's,2021,1070000
Excise Duty on Premises or Activities - Clubs,2021,3865
Excise Duty on Premises or Activities - Public Dancing Licences,2021, -   
Excise Duty on Premises or Activities - Licences,2021,6777802
Excise Duty on Premises or Activities - An Post,2021,2370.61
Alcohols Beer - Import,2020,183084407.7
Alcohols Beer - Home,2020,167948893.1
Alcohols Cider and Perry - Import,2020,12701490.3
Alcohols Cider and Perry - Home,2020,40340740.7
Alcohols Spirits - Import,2020,255510254.8
Alcohols Spirits - Home,2020,118805758.2
Alcohols Wine,2020,407927693.5
Alcohols Made Wine,2020,17129763
Tobacco Cigarettes,2020,1039782225
Tobacco Cigars /Fine Cut / Other Smoking,2020,161427866
Mineral Hydrocarbon Light Oils - Import ,2020,425163361
